"","embryo_time","cell_type"
"1",350,"AFD"
"2",190,NA
"3",245,NA
"4",225,NA
"5",325,"ASK_parent"
"6",670,"ASEL"
"7",260,NA
"8",170,NA
"9",260,NA
"10",300,"Neuroblast_AFD_RMD"
"11",260,"Neuroblast_ADF_AWB"
"12",260,"Neuroblast_ASE_ASJ_AUA"
"13",200,NA
"14",290,"ASK_parent"
"15",300,"ASE_parent"
"16",290,"Neuroblast_ASJ_AUA"
"17",240,NA
"18",230,NA
"19",260,"Neuroblast_AFD_RMD"
"20",300,"AFD"
"21",175,NA
"22",195,NA
"23",170,NA
"24",265,"Neuroblast_AFD_RMD"
"25",300,"Neuroblast_ASG_AWA"
"26",280,"Neuroblast_ASG_AWA"
"27",260,"Neuroblast_ASE_ASJ_AUA"
"28",310,"Neuroblast_ADF_AWB"
"29",270,"Neuroblast_ASG_AWA"
"30",230,NA
"31",260,NA
"32",260,"Neuroblast_ASE_ASJ_AUA"
"33",405,"ADL"
"34",270,"Neuroblast_AFD_RMD"
"35",225,NA
"36",175,NA
"37",260,"ADL_parent"
"38",210,"Neuroblast_ASE_ASJ_AUA"
"39",300,"Neuroblast_ASG_AWA"
"40",170,NA
"41",190,NA
"42",300,"ASG_AWA"
"43",220,NA
"44",170,NA
"45",310,"Neuroblast_ASJ_AUA"
"46",180,NA
"47",260,"ADL_parent"
"48",245,"ADL_parent"
"49",245,NA
"50",270,NA
"51",205,NA
"52",230,NA
"53",230,"Neuroblast_AFD_RMD"
"54",170,NA
"55",390,"ASH"
"56",260,"Neuroblast_AFD_RMD"
"57",245,NA
"58",260,"Neuroblast_ASG_AWA"
"59",260,NA
"60",230,NA
"61",265,NA
"62",420,"ADF"
"63",285,"Neuroblast_ASJ_AUA"
"64",280,"Neuroblast_ASG_AWA"
"65",230,NA
"66",300,"Neuroblast_ASJ_AUA"
"67",200,NA
"68",230,NA
"69",290,"ASI_parent"
"70",190,NA
"71",200,NA
"72",275,NA
"73",260,NA
"74",300,"ASI_parent"
"75",170,NA
"76",340,"ADL"
"77",310,"ASE_parent"
"78",345,"ASI_parent"
"79",200,"Neuroblast_ASE_ASJ_AUA"
"80",230,NA
"81",265,NA
"82",270,NA
"83",260,NA
"84",365,"ASK_parent"
"85",380,"ADL"
"86",220,"Neuroblast_ASE_ASJ_AUA"
"87",220,NA
"88",330,"ASK_parent"
"89",265,"Neuroblast_ADF_AWB"
"90",205,NA
"91",325,"AFD"
"92",270,NA
"93",310,"Neuroblast_ASG_AWA"
"94",300,"ADL_parent"
"95",370,"ADL"
"96",290,"ASI_parent"
"97",230,"ADL_parent"
"98",180,NA
"99",300,"ADL_parent"
"100",225,NA
"101",200,NA
"102",245,NA
"103",260,"Neuroblast_AFD_RMD"
"104",225,NA
"105",290,"Neuroblast_ASJ_AUA"
"106",360,"ADL"
"107",260,"Neuroblast_ADF_AWB"
"108",230,"ADL_parent"
"109",370,"AWC"
"110",270,"ASK_parent"
"111",270,"Neuroblast_ASG_AWA"
"112",175,NA
"113",260,"Neuroblast_ADF_AWB"
"114",245,"Neuroblast_ASE_ASJ_AUA"
"115",315,"ADL_parent"
"116",190,NA
"117",270,NA
"118",345,"ADF_AWB"
"119",260,NA
"120",350,"ASJ"
"121",275,"Neuroblast_ADF_AWB"
"122",260,"Neuroblast_ASE_ASJ_AUA"
"123",270,"ASI_parent"
"124",300,"ASE_parent"
"125",260,"Neuroblast_ASG_AWA"
"126",230,"Neuroblast_AFD_RMD"
"127",215,NA
"128",195,NA
"129",405,"ASE"
"130",365,"ADL"
"131",260,"Neuroblast_AFD_RMD"
"132",270,"ADL_parent"
"133",260,"Neuroblast_ASG_AWA"
"134",260,NA
"135",230,NA
"136",180,NA
"137",310,"ASE_parent"
"138",370,"ASH"
"139",320,"Neuroblast_ASG_AWA"
"140",205,"Neuroblast_ASE_ASJ_AUA"
"141",300,"ADL_parent"
"142",200,NA
"143",320,"Neuroblast_ASG_AWA"
"144",230,"Neuroblast_AFD_RMD"
"145",210,NA
"146",195,NA
"147",260,"Neuroblast_ASG_AWA"
"148",350,"ADL"
"149",585,"ADL"
"150",425,"ADF"
"151",285,NA
"152",245,NA
"153",220,"ADL_parent"
"154",380,"ADL"
"155",180,NA
"156",260,NA
"157",270,NA
"158",230,NA
"159",230,NA
"160",270,NA
"161",405,"ADL"
"162",350,"ASJ"
"163",200,NA
"164",200,NA
"165",310,"ASK_parent"
"166",190,NA
"167",200,NA
"168",200,NA
"169",275,"ADL_parent"
"170",225,NA
"171",195,NA
"172",390,"ASH"
"173",275,NA
"174",390,"ASE"
"175",245,NA
"176",350,"ASE_parent"
"177",285,"ASK_parent"
"178",270,NA
"179",300,"Neuroblast_ADF_AWB"
"180",260,NA
"181",270,NA
"182",280,"Neuroblast_ASG_AWA"
"183",230,NA
"184",285,"ASK_parent"
"185",280,"Neuroblast_ASG_AWA"
"186",175,NA
"187",300,"ASG_AWA"
"188",260,NA
"189",230,"Neuroblast_ASE_ASJ_AUA"
"190",230,NA
"191",200,NA
"192",260,NA
"193",260,"Neuroblast_ASG_AWA"
"194",215,NA
"195",215,NA
"196",200,NA
"197",285,"ADL_parent"
"198",350,"ASE_parent"
"199",320,"Neuroblast_ASG_AWA"
"200",300,"ADL_parent"
"201",225,NA
"202",225,NA
"203",260,NA
"204",270,"Neuroblast_ASG_AWA"
"205",190,NA
"206",270,"Neuroblast_AFD_RMD"
"207",170,NA
"208",270,"Neuroblast_AFD_RMD"
"209",265,"Neuroblast_ADF_AWB"
"210",260,"Neuroblast_ASG_AWA"
"211",270,"Neuroblast_AFD_RMD"
"212",320,NA
"213",385,"ASH"
"214",180,NA
"215",170,NA
"216",230,NA
"217",330,"ASI_parent"
"218",185,NA
"219",190,NA
"220",180,NA
"221",205,NA
"222",190,NA
"223",260,"Neuroblast_ADF_AWB"
"224",370,NA
"225",230,NA
"226",265,"Neuroblast_ASG_AWA"
"227",230,"ADL_parent"
"228",300,"Neuroblast_ASG_AWA"
"229",385,"ASH"
"230",230,NA
"231",260,NA
"232",300,"Neuroblast_ASG_AWA"
"233",450,"AUA"
"234",390,"ADF_AWB"
"235",360,"AFD"
"236",385,"ASH"
"237",200,NA
"238",380,"ASJ"
"239",230,NA
"240",260,NA
"241",260,NA
"242",270,NA
"243",230,"Neuroblast_AFD_RMD"
"244",200,NA
"245",195,NA
"246",410,"ASE"
"247",260,"Neuroblast_ADF_AWB"
"248",270,NA
"249",180,NA
"250",290,"ASK_parent"
"251",290,NA
"252",350,"ASI_parent"
"253",215,NA
"254",265,NA
"255",195,NA
"256",450,"ADL"
"257",260,"Neuroblast_ASG_AWA"
"258",320,"ADL_parent"
"259",340,"ASI_parent"
"260",200,NA
"261",185,NA
"262",320,"ASI_parent"
"263",230,NA
"264",290,"ADL_parent"
"265",300,"Neuroblast_ASG_AWA"
"266",260,NA
"267",260,NA
"268",270,NA
"269",310,"ASK_parent"
"270",380,"ASH"
"271",230,NA
"272",270,NA
"273",280,NA
"274",300,"ASI_parent"
"275",270,"Neuroblast_ASG_AWA"
"276",275,"Neuroblast_ADF_AWB"
"277",230,"ADL_parent"
"278",290,"ADL_parent"
"279",260,"Neuroblast_ASE_ASJ_AUA"
"280",265,"Neuroblast_AFD_RMD"
"281",170,NA
"282",185,NA
"283",350,"AFD"
"284",230,NA
"285",230,NA
"286",225,NA
"287",195,NA
"288",230,NA
"289",260,NA
"290",350,"ASH"
"291",260,NA
"292",220,NA
"293",215,"Neuroblast_ASE_ASJ_AUA"
"294",270,"Neuroblast_ADF_AWB"
"295",260,"Neuroblast_ASE_ASJ_AUA"
"296",350,"ADF_AWB"
"297",215,"Neuroblast_ASE_ASJ_AUA"
"298",220,"Neuroblast_ASE_ASJ_AUA"
"299",185,NA
"300",260,"Neuroblast_ASG_AWA"
"301",230,NA
"302",450,"ADL"
"303",260,"Neuroblast_ASG_AWA"
"304",300,"Neuroblast_ASG_AWA"
"305",310,"ASK_parent"
"306",310,"ASE_parent"
"307",200,NA
"308",270,"Neuroblast_AFD_RMD"
"309",260,"Neuroblast_ASG_AWA"
"310",350,"ASJ"
"311",300,"ADL_parent"
"312",320,"ASK_parent"
"313",275,"Neuroblast_ASG_AWA"
"314",175,NA
"315",180,NA
"316",170,NA
"317",220,"ADL_parent"
"318",375,"ASH"
"319",230,NA
"320",270,NA
"321",300,"ADL_parent"
"322",185,NA
"323",215,NA
"324",200,NA
"325",260,NA
"326",300,"ADL_parent"
"327",230,"Neuroblast_AFD_RMD"
"328",390,"ASJ"
"329",270,NA
"330",260,NA
"331",350,"Neuroblast_ASJ_AUA"
"332",230,NA
"333",270,"ADL_parent"
"334",260,"Neuroblast_ASE_ASJ_AUA"
"335",270,"Neuroblast_AFD_RMD"
"336",200,NA
"337",330,"AFD"
"338",175,NA
"339",175,NA
"340",200,NA
"341",265,"ADL_parent"
"342",265,NA
"343",325,"ASE_parent"
"344",350,"ASH"
"345",380,"ASH"
"346",175,NA
"347",260,"Neuroblast_ASG_AWA"
"348",380,"ASH"
"349",195,NA
"350",375,"ASI_parent"
"351",270,"Neuroblast_ADF_AWB"
"352",280,"Neuroblast_ASG_AWA"
"353",300,"ADL_parent"
"354",205,NA
"355",230,"Neuroblast_AFD_RMD"
"356",280,NA
"357",270,"Neuroblast_AFD_RMD"
"358",420,"ASK"
"359",275,NA
"360",260,"ADL_parent"
"361",260,"ADL_parent"
"362",295,"Neuroblast_AFD_RMD"
"363",270,NA
"364",190,NA
"365",225,NA
"366",230,"Neuroblast_AFD_RMD"
"367",230,"Neuroblast_AFD_RMD"
"368",280,"Neuroblast_ASG_AWA"
"369",300,"Neuroblast_ASG_AWA"
"370",210,"ADL_parent"
"371",280,"ADL_parent"
"372",450,"ASI"
"373",360,"ASK_parent"
"374",230,NA
"375",260,"Neuroblast_ASE_ASJ_AUA"
"376",240,NA
"377",300,"Neuroblast_ASG_AWA"
"378",300,"ADL_parent"
"379",200,NA
"380",215,"Neuroblast_ASE_ASJ_AUA"
"381",260,"Neuroblast_ADF_AWB"
"382",300,"Neuroblast_ASG_AWA"
"383",260,NA
"384",300,"ASG_AWA"
"385",320,"Neuroblast_ASG_AWA"
"386",350,"ASH"
"387",200,NA
"388",275,NA
"389",275,"Neuroblast_ADF_AWB"
"390",275,"Neuroblast_ASG_AWA"
"391",530,"AFD"
"392",245,NA
"393",275,NA
"394",300,"ASE_parent"
"395",270,NA
"396",260,NA
"397",420,"ASK"
"398",265,"ADL_parent"
"399",350,"ASJ"
"400",200,NA
"401",230,"Neuroblast_ASE_ASJ_AUA"
"402",350,"ASH"
"403",260,"ADL_parent"
"404",330,"ASK_parent"
"405",285,NA
"406",165,NA
"407",300,"ADL_parent"
"408",260,"Neuroblast_AFD_RMD"
"409",190,NA
"410",260,NA
"411",380,"ADL"
